Amount,Average,Candidates,Chamber,District,State,Year
"$150,268","$150,268",1,House of Representatives,1,Alabama,2018
"$180,395","$60,132",3,House of Representatives,1,Alabama,2014
"$4,500","$4,500",1,House of Representatives,1,Alabama,2012
"$363,533","$72,707",5,House of Representatives,1,Alabama,2010
"$-2,779","$-2,779",1,House of Representatives,1,Alabama,2008
"$282,808","$141,404",2,House of Representatives,1,Alabama,2006
"$133,075","$33,269",4,House of Representatives,1,Alabama,2002
"$1,111,800","$65,400",17,House of Representatives,1,Alabama,Total
"$123,490","$61,745",2,House of Representatives,2,Alabama,2018
"$291,707","$145,854",2,House of Representatives,2,Alabama,2014
"$-12,878","$-12,878",1,House of Representatives,2,Alabama,2012
"$398,840","$199,420",2,House of Representatives,2,Alabama,2010
"$98,327","$49,164",2,House of Representatives,2,Alabama,2006
"$124,331","$15,541",8,House of Representatives,2,Alabama,2002
"$1,023,817","$60,225",17,House of Representatives,2,Alabama,Total
"$426,463","$142,154",3,House of Representatives,3,Alabama,2018
"$111,548","$55,774",2,House of Representatives,3,Alabama,2014
$99,$99,1,House of Representatives,3,Alabama,2012
"$355,267","$355,267",1,House of Representatives,3,Alabama,2010
"$3,528","$3,528",1,House of Representatives,3,Alabama,2008
"$83,298","$83,298",1,House of Representatives,3,Alabama,2006
"$98,819","$32,940",3,House of Representatives,3,Alabama,2002
"$1,079,022","$89,918",12,House of Representatives,3,Alabama,Total
"$10,389","$10,389",1,House of Representatives,4,Alabama,2018
"$57,800","$57,800",1,House of Representatives,4,Alabama,2014
"$4,500","$4,500",1,House of Representatives,4,Alabama,2012
"$141,181","$70,591",2,House of Representatives,4,Alabama,2010
"$5,000","$5,000",1,House of Representatives,4,Alabama,2008
"$114,024","$38,008",3,House of Representatives,4,Alabama,2006
"$202,684","$50,671",4,House of Representatives,4,Alabama,2002
"$535,578","$41,198",13,House of Representatives,4,Alabama,Total
"$127,537","$63,768",2,House of Representatives,5,Alabama,2018
"$402,158","$134,053",3,House of Representatives,5,Alabama,2014
"$9,650","$9,650",1,House of Representatives,5,Alabama,2012
"$221,052","$44,210",5,House of Representatives,5,Alabama,2010
"$277,605","$30,845",9,House of Representatives,5,Alabama,2006
"$69,001","$34,501",2,House of Representatives,5,Alabama,2002
"$1,107,003","$50,318",22,House of Representatives,5,Alabama,Total
"$87,588","$87,588",1,House of Representatives,6,Alabama,2018
"$42,325","$42,325",1,House of Representatives,6,Alabama,2014
"$-6,500","$-6,500",1,House of Representatives,6,Alabama,2012
"$67,814","$67,814",1,House of Representatives,6,Alabama,2010
"$-12,128","$-12,128",1,House of Representatives,6,Alabama,2008
"$177,341","$59,114",3,House of Representatives,6,Alabama,2006
"$128,181","$64,091",2,House of Representatives,6,Alabama,2002
"$484,621","$48,462",10,House of Representatives,6,Alabama,Total
"$135,321","$67,661",2,House of Representatives,7,Alabama,2018
"$397,185","$198,593",2,House of Representatives,7,Alabama,2014
$-628,$-628,1,House of Representatives,7,Alabama,2012
"$111,648","$55,824",2,House of Representatives,7,Alabama,2010
"$-13,500","$-13,500",1,House of Representatives,7,Alabama,2008
"$83,329","$41,665",2,House of Representatives,7,Alabama,2006
"$87,041","$29,014",3,House of Representatives,7,Alabama,2002
"$800,396","$61,569",13,House of Representatives,7,Alabama,Total
"$200,800","$50,200",4,House of Representatives,8,Alabama,2018
"$360,156","$180,078",2,House of Representatives,8,Alabama,2014
"$1,763","$1,763",1,House of Representatives,8,Alabama,2012
"$369,472","$92,368",4,House of Representatives,8,Alabama,2010
"$47,943","$47,943",1,House of Representatives,8,Alabama,2006
"$63,047","$31,524",2,House of Representatives,8,Alabama,2002
"$1,043,181","$74,513",14,House of Representatives,8,Alabama,Total
"$13,499","$4,500",3,House of Representatives,9,Alabama,2018
"$296,875","$148,438",2,House of Representatives,9,Alabama,2014
$800,$800,1,House of Representatives,9,Alabama,2012
"$277,696","$69,424",4,House of Representatives,9,Alabama,2010
"$2,985","$2,985",1,House of Representatives,9,Alabama,2008
"$214,566","$71,522",3,House of Representatives,9,Alabama,2006
"$105,792","$35,264",3,House of Representatives,9,Alabama,2002
"$912,213","$53,660",17,House of Representatives,9,Alabama,Total
"$219,281","$54,820",4,House of Representatives,10,Alabama,2018
"$59,599","$59,599",1,House of Representatives,10,Alabama,2014
"$3,500","$3,500",1,House of Representatives,10,Alabama,2012
"$46,444","$46,444",1,House of Representatives,10,Alabama,2010
$63,$63,1,House of Representatives,10,Alabama,2008
"$73,032","$36,516",2,House of Representatives,10,Alabama,2006
"$147,459","$29,492",5,House of Representatives,10,Alabama,2002
"$549,378","$36,625",15,House of Representatives,10,Alabama,Total
"$83,960","$83,960",1,House of Representatives,11,Alabama,2018
"$16,000","$16,000",1,House of Representatives,11,Alabama,2014
"$4,400","$4,400",1,House of Representatives,11,Alabama,2012
"$143,602","$71,801",2,House of Representatives,11,Alabama,2010
"$33,735","$33,735",1,House of Representatives,11,Alabama,2008
"$335,393","$83,848",4,House of Representatives,11,Alabama,2006
"$159,458","$53,153",3,House of Representatives,11,Alabama,2002
"$776,548","$59,734",13,House of Representatives,11,Alabama,Total
"$191,268","$95,634",2,House of Representatives,12,Alabama,2018
"$617,803","$205,934",3,House of Representatives,12,Alabama,2014
"$29,666","$29,666",1,House of Representatives,12,Alabama,2012
"$139,486","$46,495",3,House of Representatives,12,Alabama,2010
"$153,517","$51,172",3,House of Representatives,12,Alabama,2006
"$94,735","$47,368",2,House of Representatives,12,Alabama,2002
"$1,226,475","$87,605",14,House of Representatives,12,Alabama,Total
"$177,780","$177,780",1,House of Representatives,13,Alabama,2018
"$341,823","$170,912",2,House of Representatives,13,Alabama,2014
"$6,789","$6,789",1,House of Representatives,13,Alabama,2012
"$197,779","$65,926",3,House of Representatives,13,Alabama,2010
"$55,061","$27,531",2,House of Representatives,13,Alabama,2006
"$66,422","$33,211",2,House of Representatives,13,Alabama,2002
"$845,654","$76,878",11,House of Representatives,13,Alabama,Total
"$172,923","$86,462",2,House of Representatives,14,Alabama,2018
"$317,582","$158,791",2,House of Representatives,14,Alabama,2014
$-500,$-500,1,House of Representatives,14,Alabama,2012
"$1,039,953","$346,651",3,House of Representatives,14,Alabama,2010
"$48,911","$48,911",1,House of Representatives,14,Alabama,2008
"$305,406","$152,703",2,House of Representatives,14,Alabama,2006
"$212,780","$106,390",2,House of Representatives,14,Alabama,2002
"$2,097,055","$161,312",13,House of Representatives,14,Alabama,Total
"$101,699","$50,849",2,House of Representatives,15,Alabama,2018
"$33,660","$33,660",1,House of Representatives,15,Alabama,2014
"$2,000","$2,000",1,House of Representatives,15,Alabama,2012
