State,Abbreviation,Chamber,Districts,Example URL
Alabama,AL,House of Representatives,105,https://ballotpedia.org/Alabama_House_of_Representatives_District_105
Alaska,AK,House of Representatives,40,https://ballotpedia.org/Alaska_House_of_Representatives_District_40
Arizona,AZ,State Senate,30,https://ballotpedia.org/Arizona_State_Senate_District_30
Arizona,AZ,House of Representatives,30,https://ballotpedia.org/Arizona_House_of_Representatives_District_30
Arkansas,AR,State Senate,25,https://ballotpedia.org/Arkansas_State_Senate_District_25
Arkansas,AR,House of Representatives,100,https://ballotpedia.org/Arkansas_House_of_Representatives_District_100
California,CA,State Senate,40,https://ballotpedia.org/California_State_Senate_District_40
California,CA,State Assembly,80,https://ballotpedia.org/California_State_Assembly_District_80
Colorado,CO,State Senate,35,https://ballotpedia.org/Colorado_State_Senate_District_35
Colorado,CO,House of Representatives,65,https://ballotpedia.org/Colorado_House_of_Representatives_District_65
Connecticut,CT,State Senate,36,https://ballotpedia.org/Connecticut_State_Senate_District_36
Connecticut,CT,House of Representatives,151,https://ballotpedia.org/Connecticut_House_of_Representatives_District_151
Delaware,DE,State Senate,21,https://ballotpedia.org/Delaware_State_Senate_District_21
Delaware,DE,House of Representatives,41,https://ballotpedia.org/Delaware_House_of_Representatives_District_41
Florida,FL,State Senate,40,https://ballotpedia.org/Florida_State_Senate_District_40
Florida,FL,House of Representatives,120,https://ballotpedia.org/Florida_House_of_Representatives_District_120
Georgia,GA,State Senate,56,https://ballotpedia.org/Georgia_State_Senate_District_56
Georgia,GA,House of Representatives,180,https://ballotpedia.org/Georgia_House_of_Representatives_District_180
Hawaii,HI,State Senate,25,https://ballotpedia.org/Hawaii_State_Senate_District_25
Hawaii,HI,House of Representatives,51,https://ballotpedia.org/Hawaii_House_of_Representatives_District_51
Idaho,ID,State Senate,35,https://ballotpedia.org/Idaho_State_Senate_District_35
Illinois,IL,State Senate,59,https://ballotpedia.org/Illinois_State_Senate_District_59
Illinois,IL,House of Representatives,118,https://ballotpedia.org/Illinois_House_of_Representatives_District_118
Indiana,IN,House of Representatives,100,https://ballotpedia.org/Indiana_House_of_Representatives_District_100
Indiana,IN,State Senate,50,https://ballotpedia.org/Indiana_State_Senate_District_50
Iowa,IA,State Senate,50,https://ballotpedia.org/Iowa_State_Senate_District_50
Iowa,IA,House of Representatives,100,https://ballotpedia.org/Iowa_House_of_Representatives_District_100
Kansas,KS,State Senate,40,https://ballotpedia.org/Kansas_State_Senate_District_40
Kansas,KS,House of Representatives,125,https://ballotpedia.org/Kansas_House_of_Representatives_District_125
Kentucky,KY,State Senate,38,https://ballotpedia.org/Kentucky_State_Senate_District_38
Kentucky,KY,House of Representatives,100,https://ballotpedia.org/Kentucky_House_of_Representatives_District_100
Louisiana,LA,State Senate,39,https://ballotpedia.org/Louisiana_State_Senate_District_39
Maine,ME,State Senate,35,https://ballotpedia.org/Maine_State_Senate_District_35
Maine,ME,House of Representatives,151,https://ballotpedia.org/Maine_House_of_Representatives_District_151
Maryland,MD,State Senate,47,https://ballotpedia.org/Maryland_State_Senate_District_47
Michigan,MI,State Senate,38,https://ballotpedia.org/Michigan_State_Senate_District_38
Michigan,MI,House of Representatives,110,https://ballotpedia.org/Michigan_House_of_Representatives_District_110
Minnesota,MN,State Senate,67,https://ballotpedia.org/Minnesota_State_Senate_District_67
Mississippi,MS,State Senate,52,https://ballotpedia.org/Mississippi_State_Senate_District_52
Mississippi,MS,House of Representatives,122,https://ballotpedia.org/Mississippi_House_of_Representatives_District_122
Missouri,MO,State Senate,34,https://ballotpedia.org/Missouri_State_Senate_District_34
Missouri,MO,House of Representatives,163,https://ballotpedia.org/Missouri_House_of_Representatives_District_163
Montana,MT,State Senate,50,https://ballotpedia.org/Montana_State_Senate_District_50
Montana,MT,House of Representatives,100,https://ballotpedia.org/Montana_House_of_Representatives_District_100
Nebraska,NE,State Senate,49,https://ballotpedia.org/Nebraska_State_Senate_District_49
Nevada,NV,State Senate,21,https://ballotpedia.org/Nevada_State_Senate_District_21
Nevada,NV,State Assembly,42,https://ballotpedia.org/Nevada_State_Assembly_District_42
New Hampshire,NH,State Senate,24,https://ballotpedia.org/New_Hampshire_State_Senate_District_24
New Jersey,NJ,State Senate,40,https://ballotpedia.org/New_Jersey_State_Senate_District_40
New Jersey,NJ,General Assembly,40,https://ballotpedia.org/New_Jersey_General_Assembly_District_40
New Mexico,NM,State Senate,42,https://ballotpedia.org/New_Mexico_State_Senate_District_42
New Mexico,NM,House of Representatives,70,https://ballotpedia.org/New_Mexico_House_of_Representatives_District_70
New York,NY,State Senate,63,https://ballotpedia.org/New_York_State_Senate_District_63
New York,NY,State Assembly,150,https://ballotpedia.org/New_York_State_Assembly_District_150
North Carolina,NC,State Senate,50,https://ballotpedia.org/North_Carolina_State_Senate_District_50
North Carolina,NC,House of Representatives,120,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_120
North Dakota,ND,State Senate,47,https://ballotpedia.org/North_Dakota_State_Senate_District_47
North Dakota,ND,House of Representatives,47,https://ballotpedia.org/North Dakota_House_of_Representatives_District_47
Ohio,OH,State Senate,33,https://ballotpedia.org/Ohio_State_Senate_District_33
Ohio,OH,House of Representatives,99,https://ballotpedia.org/Ohio_House_of_Representatives_District_99
Oklahoma,OK,State Senate,48,https://ballotpedia.org/Oklahoma_State_Senate_District_48
Oklahoma,OK,House of Representatives,101,https://ballotpedia.org/Oklahoma_House_of_Representatives_District_101
Oregon,OR,State Senate,30,https://ballotpedia.org/Oregon_State_Senate_District_30
Oregon,OR,House of Representatives,60,https://ballotpedia.org/Oregon_House_of_Representatives_District_60
Pennsylvania,PA,State Senate,50,https://ballotpedia.org/Pennsylvania_State_Senate_District_50
Pennsylvania,PA,House of Representatives,203,https://ballotpedia.org/Pennsylvania_House_of_Representatives_District_203
